component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
cpu,intel,Core i7,Intel Core i7-12700K 3.6 GHz,,,1,PcComponentes,373,373,373,2026-08-15
cpu,intel,Core i5,Intel Core i5-12400F 2.5 GHz,,,1,PcComponentes,156,156,156,2026-08-15
cpu,intel,Core i7,Intel Core i7-14700KF 3.4/5.6GHz Box,,,1,PcComponentes,394,394,394,2026-08-15
cpu,intel,Core i5,Intel Core i5-12400 2.5 GHz,,,1,PcComponentes,228,228,228,2026-08-15
cpu,intel,Core i3,Procesador Intel Core i3-14100 4 Núcleos 3.5 GHz Frecuencia Base 4.7 GHz Turbo Gráficos UHD 730,,,1,PcComponentes,145,145,145,2026-08-15
cpu,intel,Core i5,Intel Core i5-14600KF 3.5/5.4GHz Box,,,1,PcComponentes,251,251,251,2026-08-15
cpu,intel,Core i5,Intel Core i5-14400F 2.5/4.7GHz Box,,,1,PcComponentes,187,187,187,2026-08-15
cpu,intel,Core i5,Intel Core i5-14600K 3.5/5.4GHz Box,,,1,PcComponentes,288,288,288,2026-08-15
cpu,intel,Core i5,Intel Core i5-14400 2.5/4.7GHz Box,,,1,PcComponentes,208,208,208,2026-08-15
cpu,intel,Core i7,Intel Core i7-12700F 2.1 GHz,,,1,PcComponentes,231,231,231,2026-08-15
cpu,intel,Core i7,Intel Core i7-14700 2.1/5.4GHz Box,,,1,PcComponentes,388,388,388,2026-08-15
cpu,intel,Core i7,Intel Core i7-14700K 3.4/5.6GHz Box,,,1,PcComponentes,420,420,420,2026-08-15
cpu,intel,Core i9,Procesador Intel Core i9-14900KF 24 Núcleos 3.2 GHz Frecuencia Base 6 GHz Turbo Sin Gráficos Integrados,,,1,PcComponentes,453,453,453,2026-08-15
cpu,intel,Core i3,Intel Core i3-14100F 3.5/4.7GHz Box,,,1,PcComponentes,108,108,108,2026-08-15
cpu,intel,Core i7,Intel Core i7-12700KF 3.6 GHz,,,1,PcComponentes,322,322,322,2026-08-15
cpu,intel,Core i7,Intel Core i7-14700F 2.1/5.4GHz Box,,,1,PcComponentes,334,334,334,2026-08-15
cpu,intel,Core i7,Procesador Intel Core i7-14700F 20 Núcleos 2.1 GHz Frecuencia Base 5.4 GHz Frecuencia Turbo Sin Gráficos Integrados,,,1,PcComponentes,436,436,436,2026-08-15
cpu,intel,Core i3,Intel Core i3-12100 3.3 GHz,,,1,PcComponentes,173,173,173,2026-08-15
cpu,intel,Core i7,Intel Core i7-13700KF 3.4 GHz Box,,,1,PcComponentes,346,346,346,2026-08-15
cpu,intel,Core i9,Intel Core i9-14900 2.1/5.8 GHz Box,,,1,PcComponentes,614,614,614,2026-08-15
cpu,intel,Core i3,Intel Core i3-12100F 3.3 GHz,,,1,PcComponentes,120,120,120,2026-08-15
cpu,intel,Core i5,Intel Core i5-10400 2.90 GHz,,,1,PcComponentes,172,172,172,2026-08-15
cpu,intel,Core i5,Intel Core i5-12600K 3.7 GHz,,,1,PcComponentes,245,245,245,2026-08-15
cpu,intel,Core i5,Intel Core i5-12600KF 3.7 GHz,,,1,PcComponentes,203,203,203,2026-08-15
cpu,intel,Core i5,Intel Core i5-13600KF 3.5 GHz Box,,,1,PcComponentes,377,377,377,2026-08-15
cpu,intel,Core i7,Intel Core i7-12700 2.1 GHz,,,1,PcComponentes,333,333,333,2026-08-15
cpu,intel,Core i7,Intel Core i7-13700K 3.4 GHz Box,,,1,PcComponentes,384,384,384,2026-08-15
cpu,intel,Core i9,Intel Core i9-12900KF 3.2 GHz,,,1,PcComponentes,336,336,336,2026-08-15
gpu,nvidia,RTX 5070 TI,GeForce RTX 5070 Ti VENTUS 3X OC 16GB GDDR7 Reflex 2 RTX AI DLSS4 1.,,16,1,PcComponentes,270,270,270,2026-08-15
gpu,nvidia,RTX 5080,"[ Portátiles Portátil Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16"" W11P 3.",,,1,Coolmod,500,500,500,2026-08-15
gpu,nvidia,RTX 5080,"[ Portátiles Portátil Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16"" W11P 3.499,95 € 2.479",,,1,Coolmod,95,95,95,2026-08-15
cpu,amd,Ryzen 7,[ COOLPC - Gamer Extreme COOLPC Gamer XIII Core - Ryzen 7 5700X / Radeon RX 9070 GRE 12Gb / 32Gb DDR4 / NVMe 1Tb / W11 1.,,,1,Coolmod,850,850,850,2026-08-15
