model_id,model_name,source_type,url,retrieved_at,claim,source_record_id,evidence_status
R3M0/Sinhala_LLM,R3M0/Sinhala_LLM,hugging_face,https://huggingface.co/R3M0/Sinhala_LLM,,,,reported
pinkelephantlimited/pinkelephant-llm-48b-s-4bit,pinkelephantlimited/pinkelephant-llm-48b-s-4bit,hugging_face,https://huggingface.co/pinkelephantlimited/pinkelephant-llm-48b-s-4bit,,,,reported
Ironwood-LLM-Team/Firehouse-Cactus-1.01,Ironwood-LLM-Team/Firehouse-Cactus-1.01,hugging_face,https://huggingface.co/Ironwood-LLM-Team/Firehouse-Cactus-1.01,,,,reported
minseokk7/BioPhys-LLM,minseokk7/BioPhys-LLM,hugging_face,https://huggingface.co/minseokk7/BioPhys-LLM,,,,reported
h-gajdov/llm-deception-amongus-probes,h-gajdov/llm-deception-amongus-probes,hugging_face,https://huggingface.co/h-gajdov/llm-deception-amongus-probes,,,,reported
amd/Mixtral-8x7B-Instruct-v0.1-w4a16-llmcompressor-v0.12.0,amd/Mixtral-8x7B-Instruct-v0.1-w4a16-llmcompressor-v0.12.0,hugging_face,https://huggingface.co/amd/Mixtral-8x7B-Instruct-v0.1-w4a16-llmcompressor-v0.12.0,,,,reported
hyongok2/sdi-xcs-llm,hyongok2/sdi-xcs-llm,hugging_face,https://huggingface.co/hyongok2/sdi-xcs-llm,,,,reported
liuzhiqian/llm-collusion,liuzhiqian/llm-collusion,hugging_face,https://huggingface.co/liuzhiqian/llm-collusion,,,,reported
SousiOmine/Lumi-v2-llm-jp-4-8b,SousiOmine/Lumi-v2-llm-jp-4-8b,hugging_face,https://huggingface.co/SousiOmine/Lumi-v2-llm-jp-4-8b,,,,reported
a8nova/adreno-llms-weights,a8nova/adreno-llms-weights,hugging_face,https://huggingface.co/a8nova/adreno-llms-weights,,,,reported
IMIT-PMCL/rad-impression-llm,IMIT-PMCL/rad-impression-llm,hugging_face,https://huggingface.co/IMIT-PMCL/rad-impression-llm,,,,reported
SousiOmine/Lumi-v2-llm-jp-4-8b-GGUF,SousiOmine/Lumi-v2-llm-jp-4-8b-GGUF,hugging_face,https://huggingface.co/SousiOmine/Lumi-v2-llm-jp-4-8b-GGUF,,,,reported
mangocloud/gr00t-n1.7-libero-90-k4-llm-20k,mangocloud/gr00t-n1.7-libero-90-k4-llm-20k,hugging_face,https://huggingface.co/mangocloud/gr00t-n1.7-libero-90-k4-llm-20k,,,,reported
DraSlayer/personal-llm-phase15-9b,DraSlayer/personal-llm-phase15-9b,hugging_face,https://huggingface.co/DraSlayer/personal-llm-phase15-9b,,,,reported
atjsh/llmlingua-2-js-bert-base-multilingual-cased-meetingbank-onnx-v4,atjsh/llmlingua-2-js-bert-base-multilingual-cased-meetingbank-onnx-v4,hugging_face,https://huggingface.co/atjsh/llmlingua-2-js-bert-base-multilingual-cased-meetingbank-onnx-v4,,,,reported
atjsh/llmlingua-2-js-mobilebert-meetingbank-onnx-v4,atjsh/llmlingua-2-js-mobilebert-meetingbank-onnx-v4,hugging_face,https://huggingface.co/atjsh/llmlingua-2-js-mobilebert-meetingbank-onnx-v4,,,,reported
Mercity/creative-writing-llm,Mercity/creative-writing-llm,hugging_face,https://huggingface.co/Mercity/creative-writing-llm,,,,reported
mradermacher/dots.llm1.base-GGUF,mradermacher/dots.llm1.base-GGUF,hugging_face,https://huggingface.co/mradermacher/dots.llm1.base-GGUF,,,,reported
lucia-malickova/Behavioral-Reprogramming-LLMs,lucia-malickova/Behavioral-Reprogramming-LLMs,hugging_face,https://huggingface.co/lucia-malickova/Behavioral-Reprogramming-LLMs,,,,reported
elticlan22/xhercules-llm-v3-alpha,elticlan22/xhercules-llm-v3-alpha,hugging_face,https://huggingface.co/elticlan22/xhercules-llm-v3-alpha,,,,reported
