entity_type,entity_id,flag_type,severity,field_name,message,detected_at,resolved_at,resolution
model,sharksurfauto-byte/ARES-v2,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JeremyMaille/rag-aero,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Francis1998/nexus-llm-router,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,YogendraChukka01/AdaptiveAgent,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,FB208/OpenBidKit_Yibiao,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,GabrielCpp/stablemate,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,IntelliCoder-AI/multi-agent-travel-planner-using-langraph,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,fufellen/LLM-skills,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,nonnoob/claude-briefings,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,official-eswaran/DataWhisper,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,GEMISIS/leviath,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Android-PowerUser/ScreenOperator,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,xiaoze-hub/Stock-Intelligent-Data-Analytics,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Elaina-real/dsh-tiered-approval,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,cool-japan/kizzasi,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Guruprasath-Annadurai/Whitepact,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,linny006/llmops-radar,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JetBrains/junie,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,henry-nkomo/LLM-based-tutor-for-grade-12-English-comp,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,linny006/llm-eval-tracker,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,linny006/llm-agents-radar,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,14all-agency/shopify-llms-txt-directory,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,cloud-itonami/cloud-itonami-isic-8411-electoral,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,KeiranCPFlynn/llmnesia-site-njs,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,zhaixiaowai/CodingPlanTimeRefresh,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,AstrBotDevs/AstrBot,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,ivcained/surp-router,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,14H034160212/AlphaTrader,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Hentrax/instaflow,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,btspoony/dsh-llm-fallbacks,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,raullenchai/Rapid-MLX,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
