/ods-hermes-proxy | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-dashboard | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-langfuse-web | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-langfuse-worker | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-litellm | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-perplexica | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-langfuse-minio-init | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-privacy-shield | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-dashboard-api | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-hermes | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-n8n | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
